Category,Description,Carbohydrate,Cholesterol,Choline,Fiber,Kilocalories,Protein,Sugar Total,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Total Lipid,1st Household Weight,1st Household Weight Description
MACADAMIA NUTS,"MACADAMIA NUTS,DRY RSTD,WO/SALT",13.38,0,45,8.0,718,7.79,4.139999866,1.61,59.275,1.498,11.947,76.08,131.6,"1 cup, whole or halves"
MACARONI,"MACARONI,VEG,CKD,ENR",26.61,0,5,4.300000191,128,4.53,1.149999976,68.37,0.012,0.044,0.016,0.11,134.0,"1 cup, spiral shaped"
MACE,"MACE,GROUND",50.5,0,0,20.20000076,475,6.71,0.0,8.17,11.17,4.39,9.51,32.38,5.3,1 tbsp
MACKEREL,"MACKEREL,KING,RAW",0.0,53,0,0.0,105,20.28,0.0,75.85,0.764,0.46,0.363,2.0,198.0,.5 fillet
MALABAR SPINACH,"MALABAR SPINACH,COOKED",2.71,0,0,2.099999905,23,2.98,0.0,92.5,0.0,0.0,0.0,0.78,44.0,1 cup
MALTED DRK MIX,"MALTED DRK MIX,NAT,W/ ADDED NUTR,PDR",83.59,0,32,1.899999976,372,9.41,63.38000107,3.1,0.343,0.169,0.679,1.33,21.0,"1 individual,  serving (4-5 heaping tsp or 1 envelope)"
MAMMY-APPLE,"MAMMY-APPLE,(MAMEY),RAW",12.5,0,0,3.0,51,0.5,0.0,86.2,0.205,0.079,0.136,0.5,846.0,"1 fruit, without refuse"
MANGO NECTAR,"MANGO NECTAR,CND",13.12,0,2,0.300000012,51,0.11,12.44999981,86.63,0.022,0.011,0.014,0.06,251.0,1 cup
MANGOS,"MANGOS,RAW",17.0,0,8,1.799999952,65,0.51,14.80000019,81.71,0.101,0.051,0.066,0.27,165.0,"1 cup, sliced"
MANGOSTEEN,"MANGOSTEEN,CND,SYRUP PK",17.91,0,0,1.799999952,73,0.41,0.0,80.94,0.0,0.0,0.0,0.58,196.0,"1 cup,  drained"
MARASCHINO CHERRIES,"MARASCHINO CHERRIES,CND,DRND",41.97,0,4,3.200000048,165,0.22,38.77000046,57.27,0.049,0.055,0.039,0.21,5.0,"1 cherry,  (NLEA serving)"
MARGARINE,"MARGARINE,VEG OIL SPRD,20% FAT",0.4,0,12,0.0,175,0.0,0.0,78.8,7.48,8.04,2.87,19.5,240.0,1 cup
MARGARINE SPRD,"MARGARINE SPRD,FAT-FREE,TUB",4.34,0,8,0.0,44,0.1,0.0,90.69,0.356,0.422,2.128,3.04,233.0,1 cup
MARGARINE-BUTTER BLEND,"MARGARINE-BUTTER BLEND,SOYBN OIL & BUTTER",0.77,12,6,0.0,714,0.31,0.0,17.07,30.292,24.17,14.198,80.32,227.0,1 cup
MARGARINE-LIKE SHORTENING,"MARGARINE-LIKE SHORTENING,INDUS,SOY(PART  HYDR),CTTNSD,& SOY",0.0,0,0,0.0,628,0.0,0.0,28.0,37.243,7.512,22.869,71.0,14.0,1 tbsp
MARGARINE-LIKE SPRD,"MARGARINE-LIKE SPRD,SMART BEAT SMART SQUEEZE",7.1,0,0,0.0,47,0.0,1.0,87.91,0.47,1.18,0.31,2.1,14.0,1 tablespoon
MARIE CALLENDER TKY W/GRY & DRSNG W/ MSHD POT,"MARIE CALLENDER TKY W/GRY & DRSNG W/ MSHD POT,GRN BNS & CRAN",11.35,17,0,1.0,99,8.15,2.24000001,76.59,0.73,0.76,0.63,2.37,397.0,1 meal
MARIE CALLENDER'S BF STROGANOFF & NOODLES,"MARIE CALLENDER'S BF STROGANOFF & NOODLES, CARROTS, PEAS,FRZ",10.75,17,0,2.0,114,6.69,1.690000057,76.32,1.5,1.12,1.95,4.89,369.0,1 meal
MARIE CALLENDER'S CHICK POT PIE,"MARIE CALLENDER'S CHICK POT PIE,FRZ ENTREE",19.18,9,0,1.0,235,6.83,0.779999971,58.2,5.73,1.76,4.1,14.59,284.0,1 pie
MARJORAM,"MARJORAM,DRIED",60.56,0,44,40.29999924,271,12.66,4.090000153,7.64,0.94,4.405,0.529,7.04,1.7,1 tbsp
MARMALADE,"MARMALADE,ORANGE",66.3,0,3,0.699999988,246,0.3,60.0,33.2,0.0,0.0,0.0,0.0,320.0,1 cup
MARTHA WHITE FOODS,"MARTHA WHITE FOODS,MARTHA WHITE'S CHEWY FUDGE BROWNIE MIX,",83.58,0,0,2.900000095,407,4.42,54.75999832,4.0,0.0,0.0,1.7,6.16,28.0,1 serving
MASHU ROOTS,"MASHU ROOTS,RAW (ALASKA NATIVE)",22.6,0,0,0.0,135,5.8,0.0,67.8,0.0,0.0,0.0,2.4,0.0,
MAYONNAISE,"MAYONNAISE,MADE WITH TOFU",3.06,0,26,1.100000024,322,5.95,0.850000024,56.33,5.246,16.59,2.921,31.79,240.0,1 cup
MAYONNAISE DRSNG,"MAYONNAISE DRSNG,NO CHOL",0.3,0,1,0.0,688,0.0,0.300000012,21.7,18.026,45.539,10.784,77.8,239.0,1 cup
MCDONALD'S,"MCDONALD'S,APPL DIPPERS",12.1,0,0,0.0,48,0.0,9.199999809,87.5,0.0,0.0,0.0,0.0,68.0,1 package
MCKEE BAKING,"MCKEE BAKING,LITTL DEBBI NUT BAR,WAFER W/PNUT BUTE,CHOC COVE",55.2,0,0,0.0,548,8.0,34.0,3.0,0.0,0.0,6.29,32.8,57.0,1 serving
MEAT DRIPPINGS (LARD,"MEAT DRIPPINGS (LARD,BF TALLOW,MUTTON TALLOW)",0.0,101,49,0.0,889,0.0,0.0,0.0,41.77,7.56,44.79,98.59,0.0,
MEATBALLS,"MEATBALLS,MEATLESS",8.0,0,88,4.599999905,197,21.0,1.25,58.0,2.188,4.666,1.425,9.0,144.0,1 cup
MELON,"MELON,BANANA (NAVAJO)",4.06,0,0,0.300000012,21,0.84,3.359999895,94.66,0.0,0.0,0.0,0.2,0.0,
MELON BALLS,"MELON BALLS,FROZEN",7.94,0,0,0.699999988,33,0.84,0.0,90.26,0.006,0.098,0.064,0.25,173.0,"1 cup, unthawed"
MELONS,"MELONS,CASABA,RAW",6.58,0,8,0.899999976,28,1.11,5.690000057,91.85,0.002,0.039,0.025,0.1,170.0,"1 cup, cubes"
MILK,"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",4.96,2,16,0.0,34,3.37,5.090000153,90.84,0.021,0.003,0.051,0.08,245.0,1 cup
MILK DSSRT,"MILK DSSRT,FRZ,MILK-FAT FREE,CHOC",37.7,0,1,0.0,167,4.3,37.70000076,56.1,0.329,0.03,0.597,1.0,137.0,1 cup
MILK SHAKES,"MILK SHAKES,THICK CHOC",21.15,11,0,0.300000012,119,3.05,20.85000038,72.2,0.78,0.1,1.681,2.7,28.35,1 fl oz
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",6.16,0,0,0.0,61,1.75,6.159999847,88.18,1.998,0.488,0.767,3.41,244.0,1 cup
MILKFISH,"MILKFISH,COOKED,DRY HEAT",0.0,67,0,0.0,190,26.32,0.0,62.63,0.0,0.0,0.0,8.63,85.0,3 oz
MILLET,"MILLET,COOKED",23.67,0,11,1.299999952,119,3.51,0.129999995,71.41,0.184,0.508,0.172,1.0,174.0,1 cup
MISSION FOODS,"MISSION FOODS,MISSION FLR TORTILLAS,SOFT TACO,8 INCH",49.6,0,0,0.0,287,8.7,0.0,33.6,2.771,0.924,0.695,6.0,51.0,1 serving
MIXED NUTS,"MIXED NUTS,DRY RSTD,W/PNUTS,WO/SALT",25.35,0,0,9.0,594,17.3,0.0,1.75,31.395,10.768,6.899,51.45,137.0,1 cup
MIXED VEG & FRUIT JUC DRK,"MIXED VEG & FRUIT JUC DRK,W/ ADDED NUTR",7.47,0,5,0.0,29,0.04,2.099999905,92.34,0.0,0.0,0.0,0.01,247.35,8 fl oz
MONKFISH,"MONKFISH,COOKED,DRY HEAT",0.0,32,0,0.0,97,18.56,0.0,78.51,0.0,0.0,0.0,1.95,85.0,3 oz
MOOSE,"MOOSE,LIVER,BRSD (ALASKA NATIVE)",3.43,389,0,0.0,155,24.38,0.0,66.0,0.65,1.07,0.0,4.89,0.0,
MOR-NU,"MOR-NU,TOFU,SILKEN,LITE FIRM",1.1,0,0,0.0,37,6.3,0.449999988,91.4,0.136,0.449,0.133,0.8,84.0,1 slice
MORI-NU,"MORI-NU,TOFU,SILKEN,LITE EX FIRM",1.0,0,0,0.0,38,7.0,0.419999987,90.9,0.118,0.395,0.116,0.7,84.0,1 slice
MORNINGSTAR FARMS AMERICA'S ORIGINAL VEGGIE DOG,"MORNINGSTAR FARMS AMERICA'S ORIGINAL VEGGIE DOG,FRZ,UNPREP",12.3,0,0,3.5,132,19.7,4.099999905,64.8,0.2,0.9,0.2,1.3,57.0,1 link
MORNINGSTAR FARMS ASIAN VEGGIE PATTIES,"MORNINGSTAR FARMS ASIAN VEGGIE PATTIES,FRZ,UNPREP",14.9,0,0,3.0,155,10.9,4.900000095,64.75,1.7,3.7,0.8,6.2,67.0,1 patty
MORNINGSTAR FARMS BRKFST PATTIE MADE W/ ORG SOY,"MORNINGSTAR FARMS BRKFST PATTIE MADE W/ ORG SOY,FRZ,UNPREP",10.6,2,0,4.300000191,205,22.1,1.5,55.4,3.3,3.8,1.1,8.2,38.0,1 patty
MORNINGSTAR FARMS CHEDDAR BURGER,"MORNINGSTAR FARMS CHEDDAR BURGER,FRZ,UNPREP",16.1,12,0,5.0,222,19.7,1.799999952,50.5,2.7,4.2,2.8,10.4,64.0,1 patty
MORNINGSTAR FARMS CHIK PATTIES ORIGINAL,"MORNINGSTAR FARMS CHIK PATTIES ORIGINAL,FRZ,UNPREP",22.9,0,0,3.0,197,11.8,2.0,54.0,1.4,4.7,0.8,7.0,71.0,1 patty
MORNINGSTAR FARMS CHIK'N NUGGETS,"MORNINGSTAR FARMS CHIK'N NUGGETS,FRZ,UNPREP",20.79,1,0,2.299999952,218,14.19,1.299999952,53.0,2.35,4.21,1.19,8.72,86.0,4 pieces
MORNINGSTAR FARMS GARDEN VEGGIE PATTIES,"MORNINGSTAR FARMS GARDEN VEGGIE PATTIES,FRZ,UNPREP",13.7,2,0,4.5,176,17.8,1.799999952,59.9,1.5,3.2,0.8,5.6,67.0,1 patty
MORNINGSTAR FARMS GRILLERS ORIGINAL,"MORNINGSTAR FARMS GRILLERS ORIGINAL,FRZ,UNPREP",8.5,3,0,4.400000095,213,23.9,1.200000048,55.6,2.6,5.0,1.7,9.3,64.0,1 patty
MORNINGSTAR FARMS GRILLERS PRIME,"MORNINGSTAR FARMS GRILLERS PRIME,FRZ,UNPREP",5.9,1,0,2.599999905,238,24.0,0.300000012,54.3,5.6,6.0,1.6,13.2,71.0,1 patty
MORNINGSTAR FARMS GRILLERS RECIPE CRUMBLES,"MORNINGSTAR FARMS GRILLERS RECIPE CRUMBLES,FRZ,UNPREP",7.7,0,0,4.699999809,131,17.8,0.600000024,65.8,0.9,2.87,0.5,4.3,55.0,.67 cup
MORNINGSTAR FARMS GRILLERS VEGAN,"MORNINGSTAR FARMS GRILLERS VEGAN,FRZ,UNPREP",9.1,0,0,5.199999809,132,16.3,0.400000006,68.2,1.2,1.7,0.5,3.4,71.0,1 patty
MORNINGSTAR FARMS ITALIAN HERB CHIK PATTIES,"MORNINGSTAR FARMS ITALIAN HERB CHIK PATTIES,FRZ,UNPREP",31.1,0,0,3.400000095,236,13.6,1.5,46.9,1.3,4.85,0.8,7.0,71.0,1 patty
MORNINGSTAR FARMS MEAL STARTERS CHIK'N STRIPS,"MORNINGSTAR FARMS MEAL STARTERS CHIK'N STRIPS,FRZ,UNPREP",6.7,0,0,1.399999976,164,26.8,1.200000048,60.3,1.5,1.69,0.6,3.9,85.0,12 strip
MORNINGSTAR FARMS MEAL STARTERS STEAK STRIPS,"MORNINGSTAR FARMS MEAL STARTERS STEAK STRIPS,FRZ,UNPREP",9.0,0,0,1.100000024,173,26.1,1.200000048,58.5,1.8,1.61,0.6,4.1,85.0,12 strip
MORNINGSTAR FARMS MEATFREE BUFFALO WINGS,"MORNINGSTAR FARMS MEATFREE BUFFALO WINGS,FRZ,UNPREP",23.3,0,0,3.700000048,230,14.5,2.0,50.4,2.0,6.14,1.2,9.4,85.0,5 pieces
MORNINGSTAR FARMS MEATLESS CORN DOGS,"MORNINGSTAR FARMS MEATLESS CORN DOGS,FRZ,UNPREP",31.67,0,0,4.199999809,228,11.38,7.420000076,48.68,1.95,3.57,1.05,6.17,71.0,1 piece
MORNINGSTAR FARMS MEATLESS MINI CORN DOGS,"MORNINGSTAR FARMS MEATLESS MINI CORN DOGS,FRZ,UNPREP",29.29,1,0,4.199999809,229,13.44,3.49000001,48.46,2.53,1.67,0.71,6.48,76.0,4 pieces
MORNINGSTAR FARMS MUSHROOM LOVER'S BURGER,"MORNINGSTAR FARMS MUSHROOM LOVER'S BURGER,FRZ,UNPREP",11.8,0,0,1.200000048,169,11.6,1.600000024,66.1,2.5,4.9,1.3,8.8,64.0,1 patty
MORNINGSTAR FARMS OKARA PATTIES MADE W/ ORG SOY,"MORNINGSTAR FARMS OKARA PATTIES MADE W/ ORG SOY,FRZ,UNPREP",9.6,1,0,4.5,178,18.6,1.200000048,61.8,3.9,2.2,0.8,7.2,64.0,1 patty
MORNINGSTAR FARMS ORIGINAL CHIK'N TENDERS,"MORNINGSTAR FARMS ORIGINAL CHIK'N TENDERS,FRZ,UNPREP",25.2,0,0,3.599999905,233,14.7,0.600000024,50.4,2.4,4.55,1.1,8.1,81.0,2 pieces
MORNINGSTAR FARMS PHILLY CHEESESTEAK BURGER,"MORNINGSTAR FARMS PHILLY CHEESESTEAK BURGER,FRZ,UNPREP",10.52,0,0,3.099999905,186,14.6,0.800000012,62.63,2.33,3.42,2.3,9.48,64.0,1 patty
MORNINGSTAR FARMS RSTD HERB CHIK'N W/ ORG SOY,"MORNINGSTAR FARMS RSTD HERB CHIK'N W/ ORG SOY,FRZ,UNPREP",13.6,1,0,2.700000048,167,18.9,1.399999976,60.6,1.9,1.7,0.5,4.1,64.0,1 patty
MORNINGSTAR FARMS SAUSAGE STYLE RECIPE CRUMBLES,"MORNINGSTAR FARMS SAUSAGE STYLE RECIPE CRUMBLES,FRZ,UNPREP",13.7,0,0,2.0,164,17.8,1.100000024,61.5,1.1,2.3,0.6,4.2,55.0,.67 cup
MORNINGSTAR FARMS SPICY BLACK BEAN BURGER,"MORNINGSTAR FARMS SPICY BLACK BEAN BURGER,FRZ,UNPREP",19.7,1,0,6.800000191,171,16.1,2.799999952,56.5,1.5,3.3,0.8,5.7,67.0,1 patty
MORNINGSTAR FARMS TOMATO & BASIL PIZZA BURGER,"MORNINGSTAR FARMS TOMATO & BASIL PIZZA BURGER,FRZ,UNPREP",11.1,11,0,3.700000048,181,15.5,2.400000095,62.8,2.1,3.86,2.2,8.3,67.0,1 patty
MORNINGSTAR FARMS VEGAN BURGER MADE W/ ORG SOY,"MORNINGSTAR FARMS VEGAN BURGER MADE W/ ORG SOY,FRZ,UNPREP",10.7,0,0,5.699999809,138,18.9,2.099999905,64.8,0.8,1.09,0.3,2.2,71.0,1 patty
MORNINGSTAR FARMS VEGGIE BACON STRIPS,"MORNINGSTAR FARMS VEGGIE BACON STRIPS,FRZ,UNPREP",14.3,2,0,5.099999905,346,12.4,0.800000012,41.9,6.2,16.2,4.2,26.6,16.0,2 strip
MORNINGSTAR FARMS VEGGIE BITES BROCCOLI CHEDDAR,"MORNINGSTAR FARMS VEGGIE BITES BROCCOLI CHEDDAR,FRZ,UNPREP",17.4,8,0,1.5,209,9.9,3.400000095,58.8,3.1,5.5,2.8,11.7,85.0,3 pieces
MORNINGSTAR FARMS VEGGIE BITES COUNTRY SCRAMBLE,"MORNINGSTAR FARMS VEGGIE BITES COUNTRY SCRAMBLE,FRZ,UNPREP",19.8,13,0,2.400000095,216,13.0,2.099999905,55.0,2.5,4.6,2.2,9.4,85.0,3 pieces
MORNINGSTAR FARMS VEGGIE BITES EGGS FLORENTINE,"MORNINGSTAR FARMS VEGGIE BITES EGGS FLORENTINE,FRZ,UNPREP",20.1,14,0,2.200000048,206,11.7,3.299999952,53.3,1.5,5.14,2.0,8.7,85.0,3 pieces
MORNINGSTAR FARMS VEGGIE BITES SPINACH ARTICHOKE,"MORNINGSTAR FARMS VEGGIE BITES SPINACH ARTICHOKE,FRZ,UNPREP",18.8,8,0,2.099999905,221,11.0,4.699999809,56.0,3.2,5.4,3.0,11.9,85.0,3 pieces
MORNINGSTAR FARMS VEGGIE CAKES GINGER TERIYAKI,"MORNINGSTAR FARMS VEGGIE CAKES GINGER TERIYAKI,FRZ,UNPREP",27.9,0,0,2.700000048,163,8.2,2.599999905,60.55,0.4,1.5,0.4,2.3,68.0,1 patty
MORNINGSTAR FARMS VEGGIE CAKES SOUTHWESTERN STYLE,"MORNINGSTAR FARMS VEGGIE CAKES SOUTHWESTERN STYLE,FRZ,UNPREP",30.8,7,0,3.200000048,197,9.5,0.400000006,52.4,0.6,2.9,1.7,4.6,68.0,1 patty
MORNINGSTAR FARMS VEGGIE CORN DOGS W/ NAT INGR,"MORNINGSTAR FARMS VEGGIE CORN DOGS W/ NAT INGR,FRZ,UNPREP",30.9,0,0,2.299999952,231,11.6,8.199999809,48.5,1.7,4.0,1.1,6.8,71.0,1 piece
MORNINGSTAR FARMS VEGGIE MEDLEY W/ ORG SOY,"MORNINGSTAR FARMS VEGGIE MEDLEY W/ ORG SOY,FRZ,UNPREP",15.8,2,0,2.700000048,178,15.9,1.600000024,59.8,3.2,1.8,0.7,5.7,67.0,1 patty
MORNINGSTAR FARMS VEGGIE SAUSAGE LINKS,"MORNINGSTAR FARMS VEGGIE SAUSAGE LINKS,FRZ,UNPREP",6.8,2,0,4.0,159,19.2,1.0,64.0,1.8,3.6,0.7,6.1,45.0,1 patty
MORNINGSTAR FARMS VEGGIE SAUSAGE PATTIES,"MORNINGSTAR FARMS VEGGIE SAUSAGE PATTIES,FRZ,UNPREP",8.8,2,0,4.099999905,210,25.8,1.700000048,54.4,1.9,4.9,1.1,7.9,38.0,1 patty
MORTADELLA,"MORTADELLA,BEEF,PORK",3.05,56,72,0.0,311,16.37,0.0,52.3,11.38,3.12,9.51,25.39,28.35,1 oz
MOTHBEANS,"MOTHBEANS,MATURE SEEDS,CKD,BLD,WO/SALT",20.96,0,0,0.0,117,7.81,0.0,69.23,0.044,0.256,0.124,0.55,177.0,1 cup
MOTHER'S LOAF,"MOTHER'S LOAF,PORK",7.53,45,0,0.0,282,12.07,0.0,54.9,10.34,2.58,7.95,22.3,28.35,1 oz
MOUNTAIN YAM,"MOUNTAIN YAM,HAWAII,CKD,STMD,WO/SALT",20.0,0,0,0.0,82,1.73,0.0,77.14,0.003,0.036,0.018,0.08,145.0,"1 cup, cubes"
MOUSE NUTS,"MOUSE NUTS,ROOTS (ALASKA NATIVE)",16.1,0,0,0.0,81,3.9,0.0,77.2,0.0,0.0,0.0,0.1,0.0,
MUFFIN,"MUFFIN,BLUEBERRY,COMMLY PREP,LOW-FAT",50.05,28,52,4.199999809,255,4.23,27.04999924,39.94,0.86,1.363,1.549,4.22,71.0,"1 muffin,  small"
MUFFINS,"MUFFINS,OAT BRAN",48.3,0,7,4.599999905,270,7.0,8.220000267,35.0,1.695,4.129,1.087,7.4,17.22,1 mini
MULBERRIES,"MULBERRIES,RAW",9.8,0,12,1.700000048,43,1.44,8.100000381,87.68,0.041,0.207,0.027,0.39,140.0,1 cup
MULLET,"MULLET,STRIPED,RAW",0.0,49,65,0.0,117,19.35,0.0,77.01,1.078,0.715,1.116,3.79,28.35,1 oz
MUNG BNS,"MUNG BNS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",4.19,0,10,0.800000012,21,2.03,2.839999914,93.39,0.012,0.032,0.025,0.09,124.0,1 cup
MUNGO BNS,"MUNGO BNS,MATURE SEEDS,CKD,BLD,WO/SALT",18.34,0,30,6.400000095,105,7.54,2.00999999,72.51,0.029,0.359,0.038,0.55,180.0,1 cup
MUSH,"MUSH,BLUE CORN W/ ASH (NAVAJO)",11.74,0,0,1.100000024,54,0.66,0.189999998,86.67,0.109,0.208,0.074,0.49,0.0,
MUSHROOM,"MUSHROOM,OYSTER,RAW",6.47,0,49,2.299999952,43,3.31,1.110000014,88.8,0.01,0.04,0.02,0.41,148.0,1 large
MUSHROOMS,"MUSHROOMS,ENOKI,RAW",7.68,0,48,2.700000048,44,2.56,0.219999999,88.54,0.0,0.0,0.0,0.32,5.0,1 large
MUSSEL,"MUSSEL,BLUE,RAW",3.69,28,65,0.0,86,11.9,0.0,80.58,0.507,0.606,0.425,2.24,150.0,1 cup
MUSTARD,"MUSTARD,PREPARED,YELLOW",5.33,0,22,3.299999952,67,4.37,0.860000014,82.65,2.627,0.954,0.248,4.01,5.0,"1 tsp,  or 1 packet"
MUSTARD GREENS,"MUSTARD GREENS,RAW",4.9,0,0,3.299999952,26,2.7,1.600000024,90.8,0.092,0.038,0.01,0.2,56.0,"1 cup, chopped"
MUSTARD GRNS,"MUSTARD GRNS,CKD,BLD,DRND,WO/SALT",2.1,0,0,2.0,15,2.26,0.100000001,94.46,0.11,0.046,0.012,0.24,140.0,"1 cup, chopped"
MUSTARD SEED,"MUSTARD SEED,YELLOW",34.94,0,123,14.69999981,469,24.94,6.789999962,6.86,19.83,5.39,1.46,28.76,11.2,1 tbsp
MUSTARD SPINACH,"MUSTARD SPINACH,(TENDERGREEN),CKD,BLD,DRND,WO/SALT",2.8,0,0,2.0,16,1.7,0.0,94.5,0.0,0.0,0.0,0.2,180.0,"1 cup, chopped"
Macaroni and Cheese,"Macaroni and Cheese, canned entree",11.52,6,5,0.5,82,3.38,0.5,81.39,0.6,0.303,0.881,2.46,244.0,1 serving
McDONALD'S,"McDONALD'S,  Hamburger",30.69,27,0,1.299999952,252,12.36,6.579999924,45.67,3.17,0.223,2.938,9.29,105.0,1 item
Mutton,"Mutton, cooked, roasted (Navajo)",0.08,109,101,0.0,234,33.43,0.0,54.0,4.459,0.814,5.142,11.09,0.0,
NABISCO,"NABISCO,NABISCO SNACKWELL'S FAT FREE DEVIL'S FD COOKIE CAKES",74.25,0,0,1.600000024,305,5.0,43.38000107,17.65,0.246,0.196,0.427,1.09,16.0,1 serving
NALLEY CHILI CON CARNE W/BNS,"NALLEY CHILI CON CARNE W/BNS,CND ENTREE",4.6,10,0,5.0,109,15.6,0.0,74.6,1.18,0.328,1.08,3.1,425.0,"1 package,  yields"
NECTARINES,"NECTARINES,RAW",10.55,0,6,1.700000048,44,1.06,7.889999866,87.59,0.088,0.113,0.025,0.32,142.68,"1 cup, slices"
NESTLE,"NESTLE,CHEF-MATE CHILI WO/BNS,CND",8.0,22,0,1.5,147,9.0,1.5,70.54,3.936,0.496,3.037,9.0,250.0,1 cup
NEW ENGLAND BRAND SAUSAGE,"NEW ENGLAND BRAND SAUSAGE,PORK,BF",4.83,49,0,0.0,161,17.27,0.0,66.77,3.64,0.72,2.56,7.58,23.0,"1 slice,  (4"" dia x 1/8"" thick)"
NEW ZEALAND SPINACH,"NEW ZEALAND SPINACH,CKD,BLD,DRND,WO/SALT",2.2,0,0,0.0,12,1.3,0.0,94.8,0.005,0.071,0.027,0.17,180.0,"1 cup, chopped"
NOODLES,"NOODLES,EGG,CKD,ENR,W/ SALT",25.16,29,26,1.200000048,138,4.54,0.400000006,67.73,0.0,0.0,0.0,2.07,160.0,1 cup
NOPALES,"NOPALES,CKD,WO/SALT",3.28,0,7,2.0,15,1.35,1.120000005,94.31,0.007,0.021,0.006,0.05,149.0,1 cup
NUTMEG,"NUTMEG,GROUND",49.29,0,9,20.79999924,525,5.84,28.48999977,6.23,3.22,0.35,25.94,36.31,7.0,1 tbsp
NUTS,"NUTS,PINE NUTS,DRIED",13.08,0,56,3.700000048,673,13.69,3.589999914,2.28,18.764,34.071,4.899,68.37,135.08,1 cup
No Category,SILK ORIGINAL CREAMER,6.67,0,0,0.0,100,0.0,0.0,86.29,0.0,0.0,0.0,6.67,15.0,1 tbsp
OAT BRAN,"OAT BRAN,COOKED",11.44,0,0,2.599999905,40,3.21,0.0,84.0,0.291,0.339,0.163,0.86,219.0,1 cup
OAT FLR,"OAT FLR,PART DEBRANNED",65.7,0,30,6.5,404,14.66,0.800000012,8.55,2.866,3.329,1.607,9.12,0.0,
OCEAN PERCH,"OCEAN PERCH,ATLANTIC,RAW",0.0,42,65,0.0,94,18.62,0.0,78.7,0.625,0.427,0.244,1.63,28.35,"1 oz, boneless"
OCTOPUS,"OCTOPUS,COMMON,RAW",2.2,48,65,0.0,82,14.91,0.0,80.25,0.162,0.239,0.227,1.04,85.0,3 oz
OHELOBERRIES,"OHELOBERRIES,RAW",6.84,0,0,0.0,28,0.38,0.0,92.3,0.0,0.0,0.0,0.22,140.0,1 cup
OIL,"OIL,WHALE,BOWHEAD (ALASKA NATIVE)",0.0,0,0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,
OKRA,"OKRA,RAW",7.03,0,12,3.200000048,31,2.0,1.200000048,90.17,0.017,0.027,0.026,0.1,100.0,1 cup
OLD EL PASO CHILI W/BNS,"OLD EL PASO CHILI W/BNS,CND ENTREE",9.5,16,0,4.300000191,109,7.7,0.0,76.9,1.87,0.985,0.904,4.5,425.0,"1 package,  yields"
OLIVE LOAF,"OLIVE LOAF,PORK",9.2,38,67,0.0,235,11.8,0.0,58.2,7.87,1.93,5.85,16.5,28.35,"1 slice,  (1 oz) (4"" x 4"" x 3/32"" thick)"
OLIVES,"OLIVES,RIPE,CND (JUMBO-SUPER COLOSSAL)",5.61,0,7,2.5,81,0.97,0.0,84.34,5.071,0.586,0.909,6.87,8.3,1 jumbo
ONION RINGS,"ONION RINGS,BREADED,PAR FR,FRZ,UNPREP",30.53,0,0,1.799999952,258,3.15,0.0,51.22,5.738,2.7,4.534,14.1,454.0,"1 package,  (16 oz)"
ONIONS,"ONIONS,YEL,SAUTEED",7.86,0,6,1.700000048,132,0.95,0.0,80.01,0.0,0.0,0.0,10.8,86.93,"1 cup, chopped"
OOPAH (TUNICATE),"OOPAH (TUNICATE),WHL ANIMAL (ALASKA NATIVE)",0.0,0,0,0.0,67,11.7,0.0,80.2,0.0,0.0,0.0,2.2,0.0,
ORANGE BRKFST DRK,"ORANGE BRKFST DRK,RTD",10.8,0,0,0.200000003,43,0.0,6.559999943,88.9,0.0,0.0,0.0,0.0,250.0,"1 cup,  (8 fl oz)"
ORANGE DRK,"ORANGE DRK,BRKFST TYPE,W/JUC&PULP,FRZ CONC,PREP W/H2O",11.32,0,0,0.0,45,0.12,11.05000019,88.08,0.001,0.001,0.001,0.0,250.02,"1 serving, 8 fl oz"
ORANGE JUC,"ORANGE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O",10.78,0,6,0.200000003,45,0.68,8.399999619,88.1,0.01,0.012,0.007,0.06,249.0,1 cup
ORANGE JUICE,"ORANGE JUICE,RAW",10.4,0,6,0.200000003,45,0.7,8.399999619,88.3,0.036,0.04,0.024,0.2,248.0,1 cup
ORANGE PEEL,"ORANGE PEEL,RAW",25.0,0,0,10.60000038,97,1.5,0.0,72.5,0.036,0.04,0.024,0.2,6.0,1 tbsp
ORANGE&APRICOT JUC DRK,"ORANGE&APRICOT JUC DRK,CND",12.7,0,0,0.100000001,51,0.3,12.06000042,86.7,0.031,0.022,0.01,0.1,250.0,"1 cup,  (8 fl oz)"
ORANGE-FLAVOR DRK,"ORANGE-FLAVOR DRK,BRKFST TYPE,LO CAL,PDR",85.9,0,0,3.799999952,217,3.6,2.599999905,1.8,0.0,0.0,0.0,0.0,2.5,"1 portion,  amount of dry mix to make 8 fl oz prepared"
